F5 Sample ID	FFID	F5 CAGE Lib ID	F5 RNASEQ Lib ID	ROADMAP Matching Sample	Facet ontology ID	Facet ontology term	F5 Sample Type	F5 Sample Description	ROADMAP_Description	Note
11900	FF:11900-125F1	CNhs13501	__na	__na	__na	__na	cell_line	Hep-2 cells mock treated, biol_rep3	__na	__na
11899	FF:11899-125E9	CNhs13500	__na	__na	__na	__na	cell_line	Hep-2 cells mock treated, biol_rep2	__na	__na
11898	FF:11898-125E8	CNhs13479	__na	__na	__na	__na	cell_line	Hep-2 cells mock treated, biol_rep1	__na	__na
11896	FF:11896-125E6	CNhs13499	__na	__na	__na	__na	cell_line	Hep-2 cells treated with Streptococci strain JRS4, biol_rep3	__na	__na
11895	FF:11895-125E5	CNhs13498	__na	__na	__na	__na	cell_line	Hep-2 cells treated with Streptococci strain JRS4, biol_rep2	__na	__na
11894	FF:11894-125E4	CNhs13478	__na	__na	__na	__na	cell_line	Hep-2 cells treated with Streptococci strain JRS4, biol_rep1	__na	__na
11892	FF:11892-125E2	CNhs13497	__na	__na	__na	__na	cell_line	Hep-2 cells treated with Streptococci strain 5448, biol_rep3	__na	__na
11891	FF:11891-125E1	CNhs13496	__na	__na	__na	__na	cell_line	Hep-2 cells treated with Streptococci strain 5448, biol_rep2	__na	__na
11890	FF:11890-125D9	CNhs13477	__na	__na	__na	__na	cell_line	Hep-2 cells treated with Streptococci strain 5448, biol_rep1	__na	__na
11843	FF:11843-124H7	CNhs13508	__na	__na	__na	__na	cell_line	serous adenocarcinoma cell line:SK-OV-3-R after co-culture with SOC-57-02-G, biol_rep1	__na	__na
11841	FF:11841-124H5	CNhs13099	__na	__na	__na	__na	cell_line	serous adenocarcinoma cell line:SK-OV-3-R, biol_rep1	__na	__na
10858	FF:10858-111G3	CNhs13075	__na	__na	__na	__na	cell_line	mesothelioma cell line:ONE58	__na	__na
10857	FF:10857-111G2	CNhs13074	__na	__na	__na	__na	cell_line	mesothelioma cell line:No36	__na	__na
10856	FF:10856-111G1	CNhs13073	__na	__na	__na	__na	cell_line	mesothelioma cell line:Mero-95	__na	__na
10855	FF:10855-111F9	CNhs13072	__na	__na	__na	__na	cell_line	mesothelioma cell line:Mero-84	__na	__na
10854	FF:10854-111F8	CNhs13070	__na	__na	__na	__na	cell_line	mesothelioma cell line:Mero-83	__na	__na
10853	FF:10853-111F7	CNhs13069	__na	__na	__na	__na	cell_line	mesothelioma cell line:Mero-82	__na	__na
10852	FF:10852-111F6	CNhs13068	__na	__na	__na	__na	cell_line	mesothelioma cell line:Mero-48a	__na	__na
10851	FF:10851-111F5	CNhs13067	__na	__na	__na	__na	cell_line	mesothelioma cell line:Mero-41	__na	__na
10850	FF:10850-111F4	CNhs13066	__na	__na	__na	__na	cell_line	mesothelioma cell line:Mero-25	__na	__na
10849	FF:10849-111F3	CNhs13065	__na	__na	__na	__na	cell_line	mesothelioma cell line:Mero-14, tech_rep1	__na	__na
10849	FF:10849-111F3	CNhs14376	__na	__na	__na	__na	cell_line	mesothelioma cell line:Mero-14, tech_rep2	__na	low_quantity
10848	FF:10848-111F2	CNhs13064	__na	__na	__na	__na	cell_line	mesothelioma cell line:NCI-H2452	__na	__na
10847	FF:10847-111F1	CNhs13063	__na	__na	__na	__na	cell_line	mesothelioma cell line:NCI-H2052	__na	__na
10846	FF:10846-111E9	CNhs13062	__na	__na	__na	__na	cell_line	mesothelioma cell line:NCI-H226	__na	__na
10845	FF:10845-111E8	CNhs13061	__na	__na	__na	__na	cell_line	mesothelioma cell line:NCI-H28	__na	__na
10844	FF:10844-111E7	CNhs12839	__na	__na	__na	__na	cell_line	merkel cell carcinoma cell line:MS-1	__na	__na
10843	FF:10843-111E6	CNhs12838	RDhi10092	__na	__na	__na	cell_line	merkel cell carcinoma cell line:MKL-1	__na	__na
10842	FF:10842-111E5	CNhs12809	RDhi10091	__na	__na	__na	cell_line	small cell lung carcinoma cell line:NCI-H82	__na	__na
10841	FF:10841-111E4	CNhs12808	RDhi10090	__na	__na	__na	cell_line	small cell lung carcinoma cell line:DMS 144	__na	__na
10840	FF:10840-111E3	CNhs12807	__na	__na	__na	__na	cell_line	plasma cell leukemia cell line:ARH-77	__na	__na
10839	FF:10839-111E2	CNhs12806	__na	__na	__na	__na	cell_line	large cell lung carcinoma cell line:NCI-H460	__na	__na
10838	FF:10838-111E1	CNhs12805	RDhi10089	__na	__na	__na	cell_line	medulloblastoma cell line:D283 Med	__na	__na
10837	FF:10837-111D9	CNhs13505	__na	__na	__na	__na	cell_line	acute myeloid leukemia (FAB M6) cell line:F-36P	__na	__na
10836	FF:10836-111D8	CNhs13060	__na	__na	__na	__na	cell_line	acute myeloid leukemia (FAB M6) cell line:F-36E	__na	__na
10835	FF:10835-111D7	CNhs13059	__na	__na	__na	__na	cell_line	acute myeloid leukemia (FAB M6) cell line:EEB	__na	__na
10834	FF:10834-111D6	CNhs13058	__na	__na	__na	__na	cell_line	acute myeloid leukemia (FAB M5) cell line:U-937 DE-4	__na	__na
10833	FF:10833-111D5	CNhs13057	__na	__na	__na	__na	cell_line	acute myeloid leukemia (FAB M4eo) cell line:EoL-3	__na	__na
10832	FF:10832-111D4	CNhs13056	__na	__na	__na	__na	cell_line	acute myeloid leukemia (FAB M4eo) cell line:EoL-1	__na	__na
10831	FF:10831-111D3	CNhs13504	__na	__na	__na	__na	cell_line	acute myeloid leukemia (FAB M4) cell line:HNT-34	__na	__na
10830	FF:10830-111D2	CNhs13503	__na	__na	__na	__na	cell_line	acute myeloid leukemia (FAB M4) cell line:FKH-1	__na	__na
10829	FF:10829-111D1	CNhs13055	__na	__na	__na	__na	cell_line	acute myeloid leukemia (FAB M3) cell line:HL60	__na	__na
10828	FF:10828-111C9	CNhs13054	__na	__na	__na	__na	cell_line	acute myeloid leukemia (FAB M1) cell line:HYT-1	__na	__na
10827	FF:10827-111C8	CNhs13053	__na	__na	__na	__na	cell_line	acute myeloid leukemia (FAB M0) cell line:KG-1	__na	__na
10826	FF:10826-111C7	CNhs12336	__na	E123	__na	__na	cell_line	chronic myelogenous leukemia cell line:K562 ENCODE, biol_rep3	K562 Leukemia Cell Line	__na
10825	FF:10825-111C6	CNhs12335	__na	E123	__na	__na	cell_line	chronic myelogenous leukemia cell line:K562 ENCODE, biol_rep2	K562 Leukemia Cell Line	__na
