F5_SAMPLE_DESCRIPTION	F5 Sample Type	F5 CAGE Lib ID	F5 Sample Description
HEP_2_CELLS_MOCK_TREATED	cell_line	CNhs13501#CNhs13500#CNhs13479	Hep-2 cells mock treated, biol_rep3#Hep-2 cells mock treated, biol_rep2#Hep-2 cells mock treated, biol_rep1
HEP_2_CELLS_TREATED_WITH_STREPTOCOCCI_STRAIN_JRS4	cell_line	CNhs13499#CNhs13498#CNhs13478	Hep-2 cells treated with Streptococci strain JRS4, biol_rep3#Hep-2 cells treated with Streptococci strain JRS4, biol_rep2#Hep-2 cells treated with Streptococci strain JRS4, biol_rep1
HEP_2_CELLS_TREATED_WITH_STREPTOCOCCI_STRAIN_5448	cell_line	CNhs13497#CNhs13496#CNhs13477	Hep-2 cells treated with Streptococci strain 5448, biol_rep3#Hep-2 cells treated with Streptococci strain 5448, biol_rep2#Hep-2 cells treated with Streptococci strain 5448, biol_rep1
SEROUS_ADENOCARCINOMA_CELL_LINE:SK_OV_3_R_AFTER_CO_CULTURE_WITH_SOC_57_02_G	cell_line	CNhs13508	serous adenocarcinoma cell line:SK-OV-3-R after co-culture with SOC-57-02-G, biol_rep1
SEROUS_ADENOCARCINOMA_CELL_LINE:SK_OV_3_R	cell_line	CNhs13099	serous adenocarcinoma cell line:SK-OV-3-R, biol_rep1
MESOTHELIOMA_CELL_LINE:ONE58	cell_line	CNhs13075	mesothelioma cell line:ONE58
MESOTHELIOMA_CELL_LINE:NO36	cell_line	CNhs13074	mesothelioma cell line:No36
MESOTHELIOMA_CELL_LINE:MERO_95	cell_line	CNhs13073	mesothelioma cell line:Mero-95
MESOTHELIOMA_CELL_LINE:MERO_84	cell_line	CNhs13072	mesothelioma cell line:Mero-84
MESOTHELIOMA_CELL_LINE:MERO_83	cell_line	CNhs13070	mesothelioma cell line:Mero-83
MESOTHELIOMA_CELL_LINE:MERO_82	cell_line	CNhs13069	mesothelioma cell line:Mero-82
MESOTHELIOMA_CELL_LINE:MERO_48A	cell_line	CNhs13068	mesothelioma cell line:Mero-48a
MESOTHELIOMA_CELL_LINE:MERO_41	cell_line	CNhs13067	mesothelioma cell line:Mero-41
MESOTHELIOMA_CELL_LINE:MERO_25	cell_line	CNhs13066	mesothelioma cell line:Mero-25
MESOTHELIOMA_CELL_LINE:MERO_14	cell_line	CNhs13065#CNhs14376	mesothelioma cell line:Mero-14, tech_rep1#mesothelioma cell line:Mero-14, tech_rep2
MESOTHELIOMA_CELL_LINE:NCI_H2452	cell_line	CNhs13064	mesothelioma cell line:NCI-H2452
MESOTHELIOMA_CELL_LINE:NCI_H2052	cell_line	CNhs13063	mesothelioma cell line:NCI-H2052
MESOTHELIOMA_CELL_LINE:NCI_H226	cell_line	CNhs13062	mesothelioma cell line:NCI-H226
MESOTHELIOMA_CELL_LINE:NCI_H28	cell_line	CNhs13061	mesothelioma cell line:NCI-H28
MERKEL_CELL_CARCINOMA_CELL_LINE:MS_1	cell_line	CNhs12839	merkel cell carcinoma cell line:MS-1
MERKEL_CELL_CARCINOMA_CELL_LINE:MKL_1	cell_line	CNhs12838	merkel cell carcinoma cell line:MKL-1
SMALL_CELL_LUNG_CARCINOMA_CELL_LINE:NCI_H82	cell_line	CNhs12809	small cell lung carcinoma cell line:NCI-H82
SMALL_CELL_LUNG_CARCINOMA_CELL_LINE:DMS_144	cell_line	CNhs12808	small cell lung carcinoma cell line:DMS 144
PLASMA_CELL_LEUKEMIA_CELL_LINE:ARH_77	cell_line	CNhs12807	plasma cell leukemia cell line:ARH-77
LARGE_CELL_LUNG_CARCINOMA_CELL_LINE:NCI_H460	cell_line	CNhs12806	large cell lung carcinoma cell line:NCI-H460
MEDULLOBLASTOMA_CELL_LINE:D283_MED	cell_line	CNhs12805	medulloblastoma cell line:D283 Med
ACUTE_MYELOID_LEUKEMIA_FAB_M6_CELL_LINE:F_36P	cell_line	CNhs13505	acute myeloid leukemia (FAB M6) cell line:F-36P
ACUTE_MYELOID_LEUKEMIA_FAB_M6_CELL_LINE:F_36E	cell_line	CNhs13060	acute myeloid leukemia (FAB M6) cell line:F-36E
ACUTE_MYELOID_LEUKEMIA_FAB_M6_CELL_LINE:EEB	cell_line	CNhs13059	acute myeloid leukemia (FAB M6) cell line:EEB
ACUTE_MYELOID_LEUKEMIA_FAB_M5_CELL_LINE:U_937_DE_4	cell_line	CNhs13058	acute myeloid leukemia (FAB M5) cell line:U-937 DE-4
ACUTE_MYELOID_LEUKEMIA_FAB_M4EO_CELL_LINE:EOL_3	cell_line	CNhs13057	acute myeloid leukemia (FAB M4eo) cell line:EoL-3
